Calculation1,Max Highlight Label,Compared to 2010,Min,Max,Country of Origin,County/District,Guests,Mo,Month,Nights,Number of Records,State,Year
103,,-100%,103,103,Australien,Tempelhof-Schöneberg,103,4,Apr,368,1,Berlin,2013
644,,-100%,644,644,Belgien,Tempelhof-Schöneberg,644,4,Apr,1996,1,Berlin,2013
178,,-100%,178,178,Brasilien,Tempelhof-Schöneberg,178,4,Apr,569,1,Berlin,2013
32,,-100%,32,32,Bulgarien,Tempelhof-Schöneberg,32,4,Apr,73,1,Berlin,2013
145,,-100%,145,145,China und Hongkong,Tempelhof-Schöneberg,145,4,Apr,372,1,Berlin,2013
1661,,-100%,1661,1661,Dänemark,Tempelhof-Schöneberg,1661,4,Apr,4867,1,Berlin,2013
33939,,-100%,33939,33939,Deutschland,Tempelhof-Schöneberg,33939,4,Apr,76310,1,Berlin,2013
33939,,-100%,33939,33939,Deutschland,Tempelhof-Schöneberg,33939,4,Apr,76310,1,Berlin,2013
46,,-100%,46,46,Estland,Tempelhof-Schöneberg,46,4,Apr,140,1,Berlin,2013
555,,-100%,555,555,Finnland,Tempelhof-Schöneberg,555,4,Apr,1705,1,Berlin,2013
998,,-100%,998,998,Frankreich,Tempelhof-Schöneberg,998,4,Apr,2794,1,Berlin,2013
139,,-100%,139,139,Griechenland,Tempelhof-Schöneberg,139,4,Apr,406,1,Berlin,2013
53,,-100%,53,53,Indien,Tempelhof-Schöneberg,53,4,Apr,162,1,Berlin,2013
132,,-100%,132,132,Irland,Tempelhof-Schöneberg,132,4,Apr,381,1,Berlin,2013
13,,-100%,13,13,Island,Tempelhof-Schöneberg,13,4,Apr,36,1,Berlin,2013
522,,-100%,522,522,Israel,Tempelhof-Schöneberg,522,4,Apr,1901,1,Berlin,2013
1375,,-100%,1375,1375,Italien,Tempelhof-Schöneberg,1375,4,Apr,4702,1,Berlin,2013
165,,-100%,165,165,Japan,Tempelhof-Schöneberg,165,4,Apr,482,1,Berlin,2013
81,,-100%,81,81,Kanada,Tempelhof-Schöneberg,81,4,Apr,269,1,Berlin,2013
48,,-100%,48,48,Korean. Republik,Tempelhof-Schöneberg,48,4,Apr,155,1,Berlin,2013
39,,-100%,39,39,Kroatien,Tempelhof-Schöneberg,39,4,Apr,100,1,Berlin,2013
52,,-100%,52,52,Lettland,Tempelhof-Schöneberg,52,4,Apr,107,1,Berlin,2013
28,,-100%,28,28,Litauen,Tempelhof-Schöneberg,28,4,Apr,54,1,Berlin,2013
35,,-100%,35,35,Luxemburg,Tempelhof-Schöneberg,35,4,Apr,106,1,Berlin,2013
2,,-100%,2,2,Malta,Tempelhof-Schöneberg,2,4,Apr,6,1,Berlin,2013
69,,-100%,69,69,Mittelamerika und Karibik,Tempelhof-Schöneberg,69,4,Apr,230,1,Berlin,2013
35,,-100%,35,35,Neuseeland und Ozeanien,Tempelhof-Schöneberg,35,4,Apr,93,1,Berlin,2013
1603,,-100%,1603,1603,Niederlande,Tempelhof-Schöneberg,1603,4,Apr,4677,1,Berlin,2013
619,,-100%,619,619,Norwegen,Tempelhof-Schöneberg,619,4,Apr,1957,1,Berlin,2013
207,,-100%,207,207,Ohne Angaben des Wohnsitzes,Tempelhof-Schöneberg,207,4,Apr,521,1,Berlin,2013
687,,-100%,687,687,Österreich,Tempelhof-Schöneberg,687,4,Apr,1758,1,Berlin,2013
582,,-100%,582,582,Polen,Tempelhof-Schöneberg,582,4,Apr,1082,1,Berlin,2013
74,,-100%,74,74,Portugal,Tempelhof-Schöneberg,74,4,Apr,232,1,Berlin,2013
53,,-100%,53,53,Rumänien,Tempelhof-Schöneberg,53,4,Apr,125,1,Berlin,2013
1018,,-100%,1018,1018,Russische Föderation,Tempelhof-Schöneberg,1018,4,Apr,2937,1,Berlin,2013
901,,-100%,901,901,Schweden,Tempelhof-Schöneberg,901,4,Apr,2606,1,Berlin,2013
1362,,-100%,1362,1362,Schweiz,Tempelhof-Schöneberg,1362,4,Apr,4106,1,Berlin,2013
23,,-100%,23,23,Slowakische Republik,Tempelhof-Schöneberg,23,4,Apr,59,1,Berlin,2013
36,,-100%,36,36,Slowenien,Tempelhof-Schöneberg,36,4,Apr,69,1,Berlin,2013
129,,-100%,129,129,Sonstige afrikanische Länder,Tempelhof-Schöneberg,129,4,Apr,376,1,Berlin,2013
253,,-100%,253,253,Sonstige asiatische Länder,Tempelhof-Schöneberg,253,4,Apr,836,1,Berlin,2013
281,,-100%,281,281,Sonstige europäische Länder,Tempelhof-Schöneberg,281,4,Apr,817,1,Berlin,2013
133,,-100%,133,133,Sonstige südamerikanische Länder,Tempelhof-Schöneberg,133,4,Apr,363,1,Berlin,2013
552,,-100%,552,552,Spanien,Tempelhof-Schöneberg,552,4,Apr,1766,1,Berlin,2013
11,,-100%,11,11,Südafrika,Tempelhof-Schöneberg,11,4,Apr,26,1,Berlin,2013
13,,-100%,13,13,Taiwan,Tempelhof-Schöneberg,13,4,Apr,49,1,Berlin,2013
151,,-100%,151,151,Tschechische Republik,Tempelhof-Schöneberg,151,4,Apr,326,1,Berlin,2013
230,,-100%,230,230,Türkei,Tempelhof-Schöneberg,230,4,Apr,720,1,Berlin,2013
65,,-100%,65,65,Ukraine,Tempelhof-Schöneberg,65,4,Apr,160,1,Berlin,2013
72,,-100%,72,72,Ungarn,Tempelhof-Schöneberg,72,4,Apr,237,1,Berlin,2013
782,,-100%,782,782,Vereinigte Staaten,Tempelhof-Schöneberg,782,4,Apr,2598,1,Berlin,2013
1704,,-100%,1704,1704,Vereinigtes Königreich,Tempelhof-Schöneberg,1704,4,Apr,5173,1,Berlin,2013
4,,-100%,4,4,Zypern,Tempelhof-Schöneberg,4,4,Apr,16,1,Berlin,2013
13,,-100%,13,13,Arabische Golfstaaten,Treptow-Köpenick,13,4,Apr,28,1,Berlin,2013
4296,,-100%,4296,4296,Ausland,Treptow-Köpenick,4296,4,Apr,11368,1,Berlin,2013
16,,-100%,16,16,Australien,Treptow-Köpenick,16,4,Apr,47,1,Berlin,2013
53,,-100%,53,53,Belgien,Treptow-Köpenick,53,4,Apr,108,1,Berlin,2013
24,,-100%,24,24,Brasilien,Treptow-Köpenick,24,4,Apr,72,1,Berlin,2013
30,,-100%,30,30,Bulgarien,Treptow-Köpenick,30,4,Apr,48,1,Berlin,2013
36,,-100%,36,36,China und Hongkong,Treptow-Köpenick,36,4,Apr,86,1,Berlin,2013
147,,-100%,147,147,Dänemark,Treptow-Köpenick,147,4,Apr,376,1,Berlin,2013
16104,,-100%,16104,16104,Deutschland,Treptow-Köpenick,16104,4,Apr,36410,1,Berlin,2013
16104,,-100%,16104,16104,Deutschland,Treptow-Köpenick,16104,4,Apr,36410,1,Berlin,2013
6,,-100%,6,6,Estland,Treptow-Köpenick,6,4,Apr,12,1,Berlin,2013
22,,-100%,22,22,Finnland,Treptow-Köpenick,22,4,Apr,59,1,Berlin,2013
139,,-100%,139,139,Frankreich,Treptow-Köpenick,139,4,Apr,300,1,Berlin,2013
43,,-100%,43,43,Griechenland,Treptow-Köpenick,43,4,Apr,84,1,Berlin,2013
30,,-100%,30,30,Indien,Treptow-Köpenick,30,4,Apr,97,1,Berlin,2013
37,,-100%,37,37,Irland,Treptow-Köpenick,37,4,Apr,84,1,Berlin,2013
9,,-100%,9,9,Island,Treptow-Köpenick,9,4,Apr,11,1,Berlin,2013
53,,-100%,53,53,Israel,Treptow-Köpenick,53,4,Apr,94,1,Berlin,2013
361,,-100%,361,361,Italien,Treptow-Köpenick,361,4,Apr,715,1,Berlin,2013
21,,-100%,21,21,Japan,Treptow-Köpenick,21,4,Apr,41,1,Berlin,2013
11,,-100%,11,11,Kanada,Treptow-Köpenick,11,4,Apr,56,1,Berlin,2013
17,,-100%,17,17,Korean. Republik,Treptow-Köpenick,17,4,Apr,38,1,Berlin,2013
1,,-100%,1,1,Kroatien,Treptow-Köpenick,1,4,Apr,2,1,Berlin,2013
19,,-100%,19,19,Lettland,Treptow-Köpenick,19,4,Apr,29,1,Berlin,2013
13,,-100%,13,13,Litauen,Treptow-Köpenick,13,4,Apr,23,1,Berlin,2013
2,,-100%,2,2,Luxemburg,Treptow-Köpenick,2,4,Apr,2,1,Berlin,2013
2,,-100%,2,2,Malta,Treptow-Köpenick,2,4,Apr,4,1,Berlin,2013
3,,-100%,3,3,Mittelamerika und Karibik,Treptow-Köpenick,3,4,Apr,3,1,Berlin,2013
10,,-100%,10,10,Neuseeland und Ozeanien,Treptow-Köpenick,10,4,Apr,16,1,Berlin,2013
392,,-100%,392,392,Niederlande,Treptow-Köpenick,392,4,Apr,1526,1,Berlin,2013
52,,-100%,52,52,Norwegen,Treptow-Köpenick,52,4,Apr,167,1,Berlin,2013
91,,-100%,91,91,Ohne Angaben des Wohnsitzes,Treptow-Köpenick,91,4,Apr,178,1,Berlin,2013
231,,-100%,231,231,Österreich,Treptow-Köpenick,231,4,Apr,509,1,Berlin,2013
527,,-100%,527,527,Polen,Treptow-Köpenick,527,4,Apr,1029,1,Berlin,2013
2,,-100%,2,2,Portugal,Treptow-Köpenick,2,4,Apr,3,1,Berlin,2013
80,,-100%,80,80,Rumänien,Treptow-Köpenick,80,4,Apr,385,1,Berlin,2013
391,,-100%,391,391,Russische Föderation,Treptow-Köpenick,391,4,Apr,978,1,Berlin,2013
190,,-100%,190,190,Schweden,Treptow-Köpenick,190,4,Apr,503,1,Berlin,2013
216,,-100%,216,216,Schweiz,Treptow-Köpenick,216,4,Apr,519,1,Berlin,2013
9,,-100%,9,9,Slowakische Republik,Treptow-Köpenick,9,4,Apr,19,1,Berlin,2013
9,,-100%,9,9,Slowenien,Treptow-Köpenick,9,4,Apr,20,1,Berlin,2013
7,,-100%,7,7,Sonstige afrikanische Länder,Treptow-Köpenick,7,4,Apr,18,1,Berlin,2013
13,,-100%,13,13,Sonstige asiatische Länder,Treptow-Köpenick,13,4,Apr,39,1,Berlin,2013
55,,-100%,55,55,Sonstige europäische Länder,Treptow-Köpenick,55,4,Apr,322,1,Berlin,2013
207,,-100%,207,207,Arabische Golfstaaten,Charlottenburg-Wilmersdorf,207,1,Jan,396,1,Berlin,2010
36268,,-100%,36268,36268,Ausland,Charlottenburg-Wilmersdorf,36268,1,Jan,98917,1,Berlin,2010
417,,-100%,417,417,Australien,Charlottenburg-Wilmersdorf,417,1,Jan,1200,1,Berlin,2010
806,,-100%,806,806,Belgien,Charlottenburg-Wilmersdorf,806,1,Jan,1624,1,Berlin,2010
485,,-100%,485,485,Brasilien,Charlottenburg-Wilmersdorf,485,1,Jan,1378,1,Berlin,2010
166,,-100%,166,166,Bulgarien,Charlottenburg-Wilmersdorf,166,1,Jan,291,1,Berlin,2010
237,,-100%,237,237,China und Hongkong,Charlottenburg-Wilmersdorf,237,1,Jan,743,1,Berlin,2010
1413,,-100%,1413,1413,Dänemark,Charlottenburg-Wilmersdorf,1413,1,Jan,3387,1,Berlin,2010
73993,,-99%,73993,73993,Deutschland,Charlottenburg-Wilmersdorf,73993,1,Jan,159031,1,Berlin,2010
73993,,-99%,73993,73993,Deutschland,Charlottenburg-Wilmersdorf,73993,1,Jan,159031,1,Berlin,2010
86,,-100%,86,86,Estland,Charlottenburg-Wilmersdorf,86,1,Jan,232,1,Berlin,2010
538,,-100%,538,538,Finnland,Charlottenburg-Wilmersdorf,538,1,Jan,1406,1,Berlin,2010
1843,,-100%,1843,1843,Frankreich,Charlottenburg-Wilmersdorf,1843,1,Jan,4355,1,Berlin,2010
694,,-100%,694,694,Griechenland,Charlottenburg-Wilmersdorf,694,1,Jan,2558,1,Berlin,2010
135,,-100%,135,135,Indien,Charlottenburg-Wilmersdorf,135,1,Jan,244,1,Berlin,2010
276,,-100%,276,276,Irland,Charlottenburg-Wilmersdorf,276,1,Jan,735,1,Berlin,2010
39,,-100%,39,39,Island,Charlottenburg-Wilmersdorf,39,1,Jan,123,1,Berlin,2010
1037,,-100%,1037,1037,Israel,Charlottenburg-Wilmersdorf,1037,1,Jan,3371,1,Berlin,2010
3939,,-100%,3939,3939,Italien,Charlottenburg-Wilmersdorf,3939,1,Jan,12849,1,Berlin,2010
405,,-100%,405,405,Japan,Charlottenburg-Wilmersdorf,405,1,Jan,1076,1,Berlin,2010
198,,-100%,198,198,Kanada,Charlottenburg-Wilmersdorf,198,1,Jan,547,1,Berlin,2010
127,,-100%,127,127,Korean. Republik,Charlottenburg-Wilmersdorf,127,1,Jan,216,1,Berlin,2010
233,,-100%,233,233,Lettland,Charlottenburg-Wilmersdorf,233,1,Jan,492,1,Berlin,2010
143,,-100%,143,143,Litauen,Charlottenburg-Wilmersdorf,143,1,Jan,348,1,Berlin,2010
98,,-100%,98,98,Luxemburg,Charlottenburg-Wilmersdorf,98,1,Jan,241,1,Berlin,2010
16,,-100%,16,16,Malta,Charlottenburg-Wilmersdorf,16,1,Jan,44,1,Berlin,2010
62,,-100%,62,62,Mittelamerika und Karibik,Charlottenburg-Wilmersdorf,62,1,Jan,198,1,Berlin,2010
41,,-100%,41,41,Neuseeland und Ozeanien,Charlottenburg-Wilmersdorf,41,1,Jan,132,1,Berlin,2010
2595,,-100%,2595,2595,Niederlande,Charlottenburg-Wilmersdorf,2595,1,Jan,7017,1,Berlin,2010
1283,,-100%,1283,1283,Norwegen,Charlottenburg-Wilmersdorf,1283,1,Jan,2557,1,Berlin,2010
687,,-100%,687,687,Ohne Angaben des Wohnsitzes,Charlottenburg-Wilmersdorf,687,1,Jan,1797,1,Berlin,2010
1494,,-100%,1494,1494,Österreich,Charlottenburg-Wilmersdorf,1494,1,Jan,3546,1,Berlin,2010
1050,,-100%,1050,1050,Polen,Charlottenburg-Wilmersdorf,1050,1,Jan,2317,1,Berlin,2010
283,,-100%,283,283,Portugal,Charlottenburg-Wilmersdorf,283,1,Jan,665,1,Berlin,2010
134,,-100%,134,134,Rumänien,Charlottenburg-Wilmersdorf,134,1,Jan,333,1,Berlin,2010
3626,,-100%,3626,3626,Russische Föderation,Charlottenburg-Wilmersdorf,3626,1,Jan,11085,1,Berlin,2010
1142,,-100%,1142,1142,Schweden,Charlottenburg-Wilmersdorf,1142,1,Jan,3032,1,Berlin,2010
1770,,-100%,1770,1770,Schweiz,Charlottenburg-Wilmersdorf,1770,1,Jan,4694,1,Berlin,2010
54,,-100%,54,54,Slowakische Republik,Charlottenburg-Wilmersdorf,54,1,Jan,150,1,Berlin,2010
54,,-100%,54,54,Slowenien,Charlottenburg-Wilmersdorf,54,1,Jan,100,1,Berlin,2010
206,,-100%,206,206,Sonstige afrikanische Länder,Charlottenburg-Wilmersdorf,206,1,Jan,524,1,Berlin,2010
330,,-100%,330,330,Sonstige asiatische Länder,Charlottenburg-Wilmersdorf,330,1,Jan,845,1,Berlin,2010
479,,-100%,479,479,Sonstige europäische Länder,Charlottenburg-Wilmersdorf,479,1,Jan,1384,1,Berlin,2010
282,,-100%,282,282,Sonstige südamerikanische Länder,Charlottenburg-Wilmersdorf,282,1,Jan,733,1,Berlin,2010
1543,,-100%,1543,1543,Spanien,Charlottenburg-Wilmersdorf,1543,1,Jan,4786,1,Berlin,2010
61,,-100%,61,61,Südafrika,Charlottenburg-Wilmersdorf,61,1,Jan,169,1,Berlin,2010
25,,-100%,25,25,Taiwan,Charlottenburg-Wilmersdorf,25,1,Jan,61,1,Berlin,2010
271,,-100%,271,271,Tschechische Republik,Charlottenburg-Wilmersdorf,271,1,Jan,566,1,Berlin,2010
516,,-100%,516,516,Türkei,Charlottenburg-Wilmersdorf,516,1,Jan,1267,1,Berlin,2010
245,,-100%,245,245,Ukraine,Charlottenburg-Wilmersdorf,245,1,Jan,765,1,Berlin,2010
336,,-100%,336,336,Ungarn,Charlottenburg-Wilmersdorf,336,1,Jan,1261,1,Berlin,2010
1344,,-100%,1344,1344,Vereinigte Staaten,Charlottenburg-Wilmersdorf,1344,1,Jan,3733,1,Berlin,2010
2786,,-100%,2786,2786,Vereinigtes Königreich,Charlottenburg-Wilmersdorf,2786,1,Jan,7257,1,Berlin,2010
31,,-100%,31,31,Zypern,Charlottenburg-Wilmersdorf,31,1,Jan,87,1,Berlin,2010
18,,-100%,18,18,Arabische Golfstaaten,Friedrichshain-Kreuzberg,18,1,Jan,38,1,Berlin,2010
15866,,-100%,15866,15866,Ausland,Friedrichshain-Kreuzberg,15866,1,Jan,45230,1,Berlin,2010
345,,-100%,345,345,Australien,Friedrichshain-Kreuzberg,345,1,Jan,1062,1,Berlin,2010
394,,-100%,394,394,Belgien,Friedrichshain-Kreuzberg,394,1,Jan,946,1,Berlin,2010
262,,-100%,262,262,Brasilien,Friedrichshain-Kreuzberg,262,1,Jan,796,1,Berlin,2010
29,,-100%,29,29,Bulgarien,Friedrichshain-Kreuzberg,29,1,Jan,59,1,Berlin,2010
98,,-100%,98,98,China und Hongkong,Friedrichshain-Kreuzberg,98,1,Jan,217,1,Berlin,2010
400,,-100%,400,400,Dänemark,Friedrichshain-Kreuzberg,400,1,Jan,1013,1,Berlin,2010
43483,,-100%,43483,43483,Deutschland,Friedrichshain-Kreuzberg,43483,1,Jan,88015,1,Berlin,2010
43483,,-100%,43483,43483,Deutschland,Friedrichshain-Kreuzberg,43483,1,Jan,88015,1,Berlin,2010
18,,-100%,18,18,Estland,Friedrichshain-Kreuzberg,18,1,Jan,62,1,Berlin,2010
144,,-100%,144,144,Finnland,Friedrichshain-Kreuzberg,144,1,Jan,424,1,Berlin,2010
1214,,-100%,1214,1214,Frankreich,Friedrichshain-Kreuzberg,1214,1,Jan,3169,1,Berlin,2010
279,,-100%,279,279,Griechenland,Friedrichshain-Kreuzberg,279,1,Jan,1070,1,Berlin,2010
28,,-100%,28,28,Indien,Friedrichshain-Kreuzberg,28,1,Jan,90,1,Berlin,2010
225,,-100%,225,225,Irland,Friedrichshain-Kreuzberg,225,1,Jan,682,1,Berlin,2010
18,,-100%,18,18,Island,Friedrichshain-Kreuzberg,18,1,Jan,73,1,Berlin,2010
105,,-100%,105,105,Israel,Friedrichshain-Kreuzberg,105,1,Jan,361,1,Berlin,2010
2119,,-100%,2119,2119,Italien,Friedrichshain-Kreuzberg,2119,1,Jan,7019,1,Berlin,2010
81,,-100%,81,81,Japan,Friedrichshain-Kreuzberg,81,1,Jan,176,1,Berlin,2010
140,,-100%,140,140,Kanada,Friedrichshain-Kreuzberg,140,1,Jan,394,1,Berlin,2010
35,,-100%,35,35,Korean. Republik,Friedrichshain-Kreuzberg,35,1,Jan,87,1,Berlin,2010
15,,-100%,15,15,Lettland,Friedrichshain-Kreuzberg,15,1,Jan,40,1,Berlin,2010
19,,-100%,19,19,Litauen,Friedrichshain-Kreuzberg,19,1,Jan,44,1,Berlin,2010
28,,-100%,28,28,Luxemburg,Friedrichshain-Kreuzberg,28,1,Jan,92,1,Berlin,2010
3,,-100%,3,3,Malta,Friedrichshain-Kreuzberg,3,1,Jan,11,1,Berlin,2010
53,,-100%,53,53,Mittelamerika und Karibik,Friedrichshain-Kreuzberg,53,1,Jan,177,1,Berlin,2010
39,,-100%,39,39,Neuseeland und Ozeanien,Friedrichshain-Kreuzberg,39,1,Jan,95,1,Berlin,2010
968,,-100%,968,968,Niederlande,Friedrichshain-Kreuzberg,968,1,Jan,2890,1,Berlin,2010
250,,-100%,250,250,Norwegen,Friedrichshain-Kreuzberg,250,1,Jan,720,1,Berlin,2010
484,,-100%,484,484,Ohne Angaben des Wohnsitzes,Friedrichshain-Kreuzberg,484,1,Jan,1212,1,Berlin,2010
522,,-100%,522,522,Österreich,Friedrichshain-Kreuzberg,522,1,Jan,1425,1,Berlin,2010
414,,-100%,414,414,Polen,Friedrichshain-Kreuzberg,414,1,Jan,686,1,Berlin,2010
83,,-100%,83,83,Portugal,Friedrichshain-Kreuzberg,83,1,Jan,249,1,Berlin,2010
93,,-100%,93,93,Rumänien,Friedrichshain-Kreuzberg,93,1,Jan,221,1,Berlin,2010
559,,-100%,559,559,Russische Föderation,Friedrichshain-Kreuzberg,559,1,Jan,1196,1,Berlin,2010
367,,-100%,367,367,Schweden,Friedrichshain-Kreuzberg,367,1,Jan,1038,1,Berlin,2010
655,,-100%,655,655,Schweiz,Friedrichshain-Kreuzberg,655,1,Jan,1738,1,Berlin,2010
28,,-100%,28,28,Slowakische Republik,Friedrichshain-Kreuzberg,28,1,Jan,70,1,Berlin,2010
52,,-100%,52,52,Slowenien,Friedrichshain-Kreuzberg,52,1,Jan,102,1,Berlin,2010
1031,,-100%,1031,1031,Kanada,Mitte,1031,2,Feb,2615,1,Berlin,2011
422,,-100%,422,422,Korean. Republik,Mitte,422,2,Feb,1195,1,Berlin,2011
153,,-100%,153,153,Lettland,Mitte,153,2,Feb,403,1,Berlin,2011
213,,-100%,213,213,Litauen,Mitte,213,2,Feb,525,1,Berlin,2011
343,,-100%,343,343,Luxemburg,Mitte,343,2,Feb,804,1,Berlin,2011
143,,-100%,143,143,Malta,Mitte,143,2,Feb,237,1,Berlin,2011
542,,-100%,542,542,Mittelamerika und Karibik,Mitte,542,2,Feb,1700,1,Berlin,2011
120,,-100%,120,120,Neuseeland und Ozeanien,Mitte,120,2,Feb,307,1,Berlin,2011
4890,,-100%,4890,4890,Niederlande,Mitte,4890,2,Feb,10933,1,Berlin,2011
1507,,-100%,1507,1507,Norwegen,Mitte,1507,2,Feb,3882,1,Berlin,2011
2579,,-100%,2579,2579,Ohne Angaben des Wohnsitzes,Mitte,2579,2,Feb,5014,1,Berlin,2011
2523,,-100%,2523,2523,Österreich,Mitte,2523,2,Feb,6013,1,Berlin,2011
1665,,-100%,1665,1665,Polen,Mitte,1665,2,Feb,3555,1,Berlin,2011
543,,-100%,543,543,Portugal,Mitte,543,2,Feb,1349,1,Berlin,2011
332,,-100%,332,332,Rumänien,Mitte,332,2,Feb,780,1,Berlin,2011
2977,,-100%,2977,2977,Russische Föderation,Mitte,2977,2,Feb,8733,1,Berlin,2011
2237,,-100%,2237,2237,Schweden,Mitte,2237,2,Feb,4639,1,Berlin,2011
4132,,-100%,4132,4132,Schweiz,Mitte,4132,2,Feb,9364,1,Berlin,2011
103,,-100%,103,103,Slowakische Republik,Mitte,103,2,Feb,288,1,Berlin,2011
189,,-100%,189,189,Slowenien,Mitte,189,2,Feb,393,1,Berlin,2011
632,,-100%,632,632,Sonstige afrikanische Länder,Mitte,632,2,Feb,1708,1,Berlin,2011
